counter,SenderResponse1a,SenderResponse1b,SenderResponse2a,SenderResponse2b,SenderResponse3a,SenderResponse3b,SenderResponse4a,SenderResponse4b,SenderResponse5a,SenderResponse5b,SenderResponse6a,SenderResponse6b,SenderResponse7a,SenderResponse7b,SenderResponse8a,SenderResponse8b,SenderResponse9a,SenderResponse9b,SenderResponse10a,SenderResponse10b,SenderResponse11a,SenderResponse11b
40,1.0,2.0,2.0,1000.0,1.0,50.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
41,2.0,1000.0,2.0,92.0,1000.0,1000.0,1.0,82.0,1000.0,1000.0,2.0,70.0,2.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
42,2.0,62.0,2.0,54.0,2.0,55.0,1000.0,1000.0,2.0,62.0,1.0,1000.0,1.0,1000.0,2.0,75.0,1.0,3.0,2.0,1000.0,1.0,1000.0
43,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,89.0
44,1000.0,1000.0,2.0,1000.0,1.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,100.0
45,1.0,10.0,2.0,22.0,1.0,52.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
46,2.0,1000.0,1.0,42.0,2.0,72.0,1.0,55.0,2.0,1000.0,2.0,87.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,36.0
47,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,39.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0,2.0,79.0
48,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,2.0,50.0,1000.0,1000.0,1.0,1.0
49,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,14.0
50,1.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,91.0,2.0,1000.0,2.0,1000.0,1.0,35.0,1.0,63.0,2.0,1000.0
51,1000.0,1000.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,5.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0
52,2.0,1000.0,2.0,9.0,1.0,53.0,1000.0,1000.0,1000.0,1000.0,2.0,26.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0
53,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,20.0,1000.0,1000.0,1.0,10.0,1.0,6.0,2.0,1000.0
54,1000.0,1000.0,2.0,87.0,1.0,16.0,1000.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,66.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
55,2.0,1000.0,1000.0,1000.0,2.0,1000.0,1.0,65.0,1000.0,1000.0,1000.0,1000.0,2.0,97.0,1.0,1000.0,2.0,1000.0,1000.0,1000.0,2.0,13.0
56,1.0,11.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,31.0,1.0,1000.0,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,2.0,61.0,1.0,1000.0
57,2.0,1000.0,1.0,6.0,1000.0,1000.0,1000.0,1000.0,2.0,1000.0,2.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,21.0,2.0,1000.0,2.0,89.0
58,1.0,1000.0,2.0,51.0,1000.0,1000.0,1000.0,1000.0,2.0,79.0,1000.0,1000.0,1000.0,1000.0,2.0,23.0,1.0,27.0,1000.0,1000.0,2.0,18.0
59,1.0,1000.0,1.0,79.0,1000.0,1000.0,1.0,1000.0,2.0,29.0,1000.0,1000.0,1000.0,1000.0,1.0,71.0,1000.0,1000.0,2.0,1000.0,1000.0,1000.0
60,1.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.0,54.0,2.0,1000.0,1000.0,1000.0,2.0,72.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
